Session Title,Date,Time Start,Time End,Room/Location,Schedule Track (Optional),Description (Optional)
Jimmy Bogard: Building External DSLs for Fun and Profit,01/11/2013,1:45 PM,2:45 PM,Guava/Tamarind,.NET,"We've all seen the explosion of fluent interfaces and internal DSLs with the language-oriented features of recent releases of C#. Dynamic languages extend the boundaries even further, where we can bend the programming languages to our will.

But what if we want to move beyond the barriers of the programming language and into actual external, executable DSLs? In this session, we'll look at the landscape of lexers, parsers, grammars and trees to see how we can use these tools to build external DSLs that business users will actually enjoy using. We'll also look at how we can take those trees and transform them into real, executable code.

Finally, we'll see where to use external DSLs (and where not to use them) to build systems with truly dynamic behavior.
"
Chris Adamson: Building Productive iOS 6 Apps (Wednesday Half Day PM),01/09/2013,1:30 PM,5:30 PM,Aloeswood/Lepoardwood,iOS,"It can't all be about the games; the App Store has lots of other categories, like productivity, utility, business, navigation, lifestyle, and so on. So for this year's afternoon iOS precompiler, we're going to look specifically at some of the features in the iOS SDK that help you write apps that will make users more productive. We'll build off the experience of the morning session and create apps that can save files to the device or iCloud, and exchange them with other apps on the device. We'll also look at some of the other options for persisting data, and exchanging it via copy-and-paste.
But no device is an island, so we'll also introduce some of the ways iOS apps can exchange data with the internet, from opening URLs to sending mail and Tweets.
Attendees will need the latest version of XCode from the Mac App Store. For the iCloud example to work, you need to run on the device, which in turn requires membership in Apple's $99/year iOS Developer Program, though we of course welcome attendees who are not in the program to follow along for that portion of the session."
Kevin Griffin: Building Real Time Web Applications,01/11/2013,9:30 AM,10:30 AM,Salon H,Design/UX,"Welcome to Web 3.0.  Today, static web sites are considered boring and unhelpful to your users.  Do users need to constantly hit Refresh in order to pull the latest data your application has to offer?  Why not consider taking a real time approach to your web application.  In this session, we'll be guided through the development of a line of business application that attacks the real time problem head on.  In cases where up to date information is key for business decisions, you're doing yourself a disfavor by staying static.  Come learn how to build real time web applications!

The audience will have the following points to take away from the sessions:

- Understanding of what it means to build a real time web application
- Understanding of basic technology available to implement real time web applications
- Understanding of design considerations and techniques for building real time web applications.
"
Jared Faris: Building Rich User Experiences Without JavaScript Spaghetti,01/11/2013,1:45 PM,2:45 PM,Salon H,JavaScript,"Most Javascript is written to glue code and UI together without any thought to design patterns. Over time this leads to piles of Javascript that look nothing like code you’d be proud of writing. In this talk we’ll look at the rise of software libraries (like Knockout) that can help add structure to your JS. We’ll talk about when they help your project, and when they get in the way. We’ll also look into how you can easily use the Mediator and Observer patterns in JavaScript to really clean up your code with or without other libraries. As an added bonus we’ll talk about using Message Buses to really decouple your JavaScript controls. We'll compare this messaging approach to a shared models approach (like Backbone). I’ll explain how we’re using these patterns at Facio and how you can implement them in your code. At the end we'll look at some code samples and we'll talk about whatever other patterns you might be interested in doing in JavaScript."
Dave Donaldson: Building WordPress Themes and Plugins--CANCELLED,01/08/2013,8:30 AM,5:30 PM,,Wordpress,This workshop has been cancelled.
"Sridhar Nanjundeswaran: Building, Deploying, and Scaling MongoDB (Tuesday Half Day PM)",01/08/2013,1:30 PM,5:30 PM,Portia/Wisteria,Other,"MongoDB is an open source, document-oriented database designed with scalability and developer agility in mind. MongoDB bridges the gap between key-value stores – which are fast and scalable – and relational databases – which have rich functionality. Instead of storing data in tables and rows as one would with a relational database, MongoDB stores JSON documents with dynamic schemas. This flexible data model makes it easy to use MongoDB and to adapt the database seamlessly as applications evolve.

This workshop will provide an overview of MongoDB and its core capabilities. Coming out of the workshop, participants will have the tools they need to begin developing on MongoDB. The first section, “Building your First App with MongoDB,” covers the basics of MongoDB's document-oriented model, query language, map-reduce framework and deployment architecture. Next, in “Schema Design and Indexing,” we will address how to best model your data with MongoDB. In the third session, “Intro. To Replication and Sharding,” we will introduce the basic concepts around replica sets and sharding, which provide for high availability and horizontal scalability. In the fourth and final session, “Deploying your MongoDB Application,” we will show you how to operationalize MongoDB and deploy it on-premise or in the cloud.
"
Bill Wagner: C# Async Programming Workshop (Wednesday Half Day AM),01/09/2013,8:30 AM,12:30 PM,Orange,.NET,"Asynchronous programming is much more than using the async and await keywords. In this workshop, you'll build your asynchronous programming skills by writing asynchronous programs.  In addition to working with the new syntax, you'll learn what problems asynchronous programming addresses in both client and server environments. You'll learn to distinguish between threads and asynchronous models, and why Task.Wait is a code smell. You'll spend the rest of the workshop learning to program with Task<T> and TaskCompletionSource<T> in order to build your asynchronous toolbox. By the end of the session, you'll be productive using async idioms in C#."
"Jon Galloway: Camper Van Full of ASP.NET - Packing MVC, Web API, Web Forms, and More Into One App",01/10/2013,9:45 AM,10:45 AM,Sagewood/Zebrawood,.NET,"Okay, you've heard that ASP.NET is one big framework of love and kisses, right? And legos. But does it actually all work like that? Can we build one ASP.NET app using MVC, Web Forms, and Web API into one application? Will it kind of work but be a big ball of mud? Or a fearsomely beautiful hydra of untold power? Honestly, I don't know. Come along for the ride. Audience members sitting in the front three rows may be eaten. By the hydra. I mean, we just don't know, do we?"
Eric Hankinson: Cartography & Coupons - Introducing iOS6 Passbook & MapKit,01/11/2013,1:45 PM,2:45 PM,Salon A,Mac/iPhone,"Map Kit was introduced in iOS 5 to provide access to the Google Maps and Google Earth APIs. In iOS 6, Apple now provides their own maps, as well as an easier way to launch the Maps app and display points of interest. Apps that provide routing information can now register as a routing app and make those services available to the entire system. Passbook is a new technology in iOS 6 to implement support for downloadable passes. This can include coupons, boarding passes, event tickets and discount cards.

Learn how to provide and display directions from your iOS apps, as well as what is involved to leverage Pass Kit for your next app."
Dennis Burton: Choose Your Own Application - The Mystery of the Single-Page App (Tuesday Half Day PM),01/08/2013,1:30 PM,5:30 PM,H,Other,"The relentless Page Refresh has been delivering its blinding white flash to your users and consuming valuable bandwidth for years. Does your team have the Backbone to Knockout the Page Refresh? You can engage the hubs of SignalR, broadcast with Socket.io, or maybe even Pusher. Will your server stack be up to the challenge? Wield frameworks like Node.js, ASP.NET MVC and WebAPI, or Rails. You will practice hours in the dojo of Heroku, and explore Azure skies to complete all of the paths in this adventure. Can you step outside of your comfort zone and mash some code? Are you up to the challenge?

In this session, you will embark on a “Choose Your Own Adventure”-style project where you will make decisions as you develop a Single-Page Application. You will make technology choices that include JavaScript or CoffeeScript, Backbone or Knockout, ASP.NET or Rails or Node.js, and Heroku or Azure. When you complete your adventure, you will have a fully-working application built with the technologies of your choosing. The best part is, you can keep coding and recoding until you have not one but many incredible implementations of the Single-Page Application. 

More Info at: ChooseYourOwnApplication.com"
Kevin Munc: CI for iOS: Do more while you sleep,01/11/2013,10:45 AM,11:45 AM,Salon A,Mac/iPhone,"Continuous Integration (CI) can boost your project up a notch. It can make your dev life easier. You may know this from having used a Continuous Integration server on Java, .NET or Ruby projects - it's pretty common, and for good reason. But CI for iOS is still too rare. This talk will discuss how to get started with CI for your iPhone and iPad projects. We'll cover compiling your code, running tests and deploying your app. We'll also survey other tools you can add to your CI environment to get more done while you sleep."
"James Ward: Client/Server Apps with HTML5, Play, CoffeeScript, and More",01/10/2013,4:50 PM,5:50 PM,Rosewood,Java,"The web application landscape is rapidly shifting back to a Client/Server architecture. This time around the Client is JavaScript, HTML, and CSS in the browser. The tools and deployment techniques for these types of applications are abundant and fragmented. This session will teach you how to pull together jQuery, LESS, Twitter Bootstrap, and some CoffeeScript to build the Client. The Server could be anything that talks HTTP but this session will use the Play Framework. You will also learn how to deploy Client/Server web apps on the cloud using a Content Delivery Network (Amazon CloudFront) for the Client and a Cloud Application Provider (Heroku) for the Server."
All Attendees: Closing & Raffle,01/11/2013,4:40 PM,5:40 PM,Dining Room,,
Mike Wood: Cloud Architecture with Windows Azure (REPEAT SESSION! Wednesday AM Half Day),01/09/2013,8:30 AM,12:30 PM,D,Cloud,"REPEAT OF TUESDAY'S SESSION

Felix Baumgartner jumped from over 128,000 feet to break a world record for sky diving.  An image was posted to a Facebook account after his landing and in 40 minutes it had logged over 216,000 likes, 10,000 comments, and 29,000 shares.
 
The Pottermore website, digital home to one of the world’s greatest known Wizards, saw a billion (with a “B”) page views just two weeks after it launched and was signing up new users at a rate of 25,000 per day.
 
Whether you need this level of instant scalability, or you are simply wanting to be ready for it when your own idea takes off the cloud allows you to create solutions that can scale easily and have high availability, however, these do not come automatically.  You need to know how best to leverage a cloud platform to achieve these capabilities successfully. This workshop focuses on architecture patterns by looking at how the Windows Azure platform and services actually work, then using that knowledge to design solid solutions.  We will start the workshop with an overview of many of the services and features of the Windows Azure Platform to understand what we have to work with, then we will touch on topics such as distributing your solution globally and handling failures (yes, they WILL happen).  Be ready to participate in groups to put your new knowledge to the test!
"
Mike Wood: Cloud Architecture with Windows Azure (Tuesday AM Half Day),01/08/2013,8:30 AM,12:30 PM,Indigo,Cloud,"Felix Baumgartner jumped from over 128,000 feet to break a world record for sky diving.  An image was posted to a Facebook account after his landing and in 40 minutes it had logged over 216,000 likes, 10,000 comments, and 29,000 shares.
 
The Pottermore website, digital home to one of the world’s greatest known Wizards, saw a billion (with a “B”) page views just two weeks after it launched and was signing up new users at a rate of 25,000 per day.
 
Whether you need this level of instant scalability, or you are simply wanting to be ready for it when your own idea takes off the cloud allows you to create solutions that can scale easily and have high availability, however, these do not come automatically.  You need to know how best to leverage a cloud platform to achieve these capabilities successfully. This workshop focuses on architecture patterns by looking at how the Windows Azure platform and services actually work, then using that knowledge to design solid solutions.  We will start the workshop with an overview of many of the services and features of the Windows Azure Platform to understand what we have to work with, then we will touch on topics such as distributing your solution globally and handling failures (yes, they WILL happen).  Be ready to participate in groups to put your new knowledge to the test!

NOTE: THIS SESSION WILL REPEAT WEDNESDAY MORNING"
"Daniel Mohl: CoffeeScript: Good, Bold, and with Sugar",01/11/2013,9:30 AM,10:30 AM,Salon D,JavaScript,"CoffeeScript has quickly become one of the most watched projects on GitHub. In this session we will talk about what CoffeeScript is, why it's important, and how it can help you develop better web apps in less time. This little language has taken the web development world by storm and it is gaining converts daily. You'll see how CoffeeScript makes code more readable, how it removes many of the ""Bad Parts"" of JavaScript, and how it allows you to express yourself more clearly without having to throw out all of the JavaScript skills that you have spent years perfecting. If you develop web applications, you owe it to yourself to learn about CoffeeScript and see if it is right for you.
"
Robert Cooper: Completely Modern GWT,01/10/2013,4:50 PM,5:50 PM,Cypress,Java,"GWT has changed a lot over the years, and sometimes it is good to make a clean break from the past. In this presentation we will examine legacy-free GWT development.
We will cover:

1. In browser and production debugging with Source Maps and SuperDevMode
2. MVP application structure
3. Request Builder and multi-platform messaging
4. Elemental, the new to-the-metal API for WebKit/HTML5 based development.
5. PlayN, the Google Multi-Platform game development suite
6. What is next?"
Evan Hauck: Compute Faster with the GPU in C#,01/10/2013,1:45 PM,2:45 PM,Guava/Tamarind,.NET,"We all know the GPU can be thousands of times faster than the CPU. Yet few of take the trouble to learn yet another obscure language just to gain a few clock ticks. If you think it would be nice if we could just write code in C# and have it run on the GPU, then this talk is for you. Join us as we write code from scratch to run on either the CPU or GPU. We will cover how to install and use Cudafy, pass data to and from the GPU and upload methods to run on the GPU’s massively parallel architecture. After this talk, the shroud of mystery preventing you from using the GPU will have been lifted."
Ryan Rauh: Conjunction Junction! What's Your function()!?,01/10/2013,3:35 PM,4:35 PM,Cypress,JavaScript,"An Entire Session on functions in JavaScript. Yep, you heard right, an hour full of bad jokes, horrible puns, internet memes, and completely unrelated references to school house rock. Oh and of course JavaScript. Join us on a magical journey from beginner to advanced to WTF (Whats that Function?!?). Along the way we will make super ultimate friends with hoisting, overloading, recursion, declaration, “type”, length, arguments, invocation and more. You’ve got a fever, and the only prescription is more functions!"
Godfrey Nolan: Connecting to the Outside World,01/11/2013,1:45 PM,2:45 PM,Zambezi,Mobile,"Because of Android's open nature, it makes it much easier for Android phone and tablets to connect to external devices via USB, Bluetooth and RS-232 serial interfaces. In this session, we show how to connect an Android tablet to different hardware, such as a barcode reader and a credit card reader via an Arduino board.

We'll look at the tools and techniques you can employ to make connecting to external devices and what pitfalls you may encounter along the way. We'll also write an Android app to read the barcode information and display the data on an Android tablet.
"
John Michael Hauck: Controlling Precision Electric Motors,01/10/2013,3:35 PM,4:35 PM,Salon G,Hardware,"So you want to build a computer controlled device and toy motors just won’t cut it. It might be that you want to add motors to your telescope, build a model cable car with realistic acceleration, or add smooth precision motion to your parade float. If you want to graduate to industrial grade (and reasonably priced) small motor programming, then this talk is for you. We will dive deep into controlling intelligent stepper motor by tuning accelerations, experimenting with position accuracy, developing a homing sequence, adjusting run currents, and implementing dynamic position maintenance. After this talk, you will see the world of movement just waiting to be automated. The presenter has written code for many automation systems."
"Brian Sherwin: Controlling Your Robot Army with C#, Netduino and Kinect ",01/10/2013,4:50 PM,5:50 PM,Salon G,Hardware,"Brian and Stephen (father and son) have spent the last five years off and on working with Robotics and Electronics. Stephen started with Lego Mindstorms, got deeper into electronics with SnapCircuits and the Parallax Basic Stamp and finally convinced his dad that Arduino was the next big thing. As a .Net developer, Brian joined in with the Netduino platform and C#. Together, they have explored electronics and robotics with the goal of creating a remote control robot with .Net and Kinect. They will be bringing their current robot project and showing steps/missteps along the way.
"
Rob Gillen: Convenience vs. Security (Wednesday Half Day AM),01/09/2013,8:30 AM,12:30 PM,Ironwood,Security,"Technology is great! It makes our life easier! More and more our devices seamlessly connect and things ""just work""… but sometimes there is a dark side to this functionality. What assumptions are made to enable the seamlessness that we crave? What tradeoffs are occurring that we might not even be aware of?
 
During this session Bill and Rob walk through a number of widely used technologies and platforms and discuss/demonstrate the weaknesses that are present in them. We begin by dealing with the ubiquitous WiFi and deal both with access point and client side attacks and weaknesses.  We then move on and demonstrate how easy it is to fall prey to phishing and spear phishing attacks.  For those of you who feel safe due to your exceptional computer practices and prowess - we talk about and demonstrate ""water cooler"" attacks.
 
This session ends by dealing with how to protect yourself once the bad guys are ""in"" (an assumption that the first part of the session will give you an appreciation for).  How do you keep your site's user info from being the next big thing on PasteBin? How do you keep your name out of the news? What best practices should you be implementing now to make yourself (and the platforms you are responsible for) more secure?
"
Jesse Liberty: Crash Course in Windows 8 ,01/10/2013,9:45 AM,10:45 AM,Aloeswood/Leopardswood,Windows 8,"An intensive introduction to the mindset, style and coding of Windows 8.  Topics covered include Layout, Interaction, Navigation, Async programming, Presenting Data, Native to XAML, Native to HTML, What .NET Developers need to know, more."
Jesse Liberty: Crash Course in Windows 8 - Beyond the Basics,01/10/2013,11:00 AM,12:00 PM,Aloeswood/Leopardswood,Windows 8,"Advanced topics in programming for Windows 8 with XAML and C#.  Topics include Asynchronous programming, Tiles, Toast and Notification, Contracts, Searching, Sharing, Location and more"
